recipe_id,Title,Cuisine,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
193,Beijinho de Coco (Coconut Little Kiss),Brazilian,30 mins,20 mins,2 hrs 50 mins,10,152.0,5g,24g,3g
194,Brazilian Style Flan (Pudim de Leite Condensado),Brazilian,20 mins,55 mins,3 hrs 15 mins,8,303.0,7g,53g,8g
195,Brazilian Fish Stew,Brazilian,20 mins,25 mins,1 hr 5 mins,6,359.0,22g,16g,27g
196,Chef John's Brazilian Fish Stew,Brazilian,12 mins,20 mins,32 mins,6,399.0,19g,33g,26g
197,Pork and Black Bean Stew,Brazilian,20 mins,40 mins,1 hr,4,482.0,27g,27g,33g
198,Brazilian Black Bean Stew,Brazilian,15 mins,30 mins,45 mins,6,508.0,15g,71g,23g
199,Sweet Cornmeal Cake Brazilian-Style,Brazilian,10 mins,30 mins,40 mins,8,508.0,18g,79g,8g
200,Brazilian Passion Fruit Mousse (Maracuja),Brazilian,15 mins,1 hr,1 hr 15 mins,6,515.0,35g,45g,7g
201,Tender Juicy Skirt Steak (Churrasco),Brazilian,15 mins,43 mins,8 hrs 58 mins,4,204.0,12g,9g,16g
202,Churrascaria-Style Picanha,Brazilian,15 mins,15 mins,1 hr,5,143.0,8g,2g,16g
203,Brazilian Carrot Cake,Brazilian,20 mins,40 mins,1 hr,12,529.0,23g,78g,6g
204,Chef John's Pão de Queijo (Brazilian Cheese Bread),Brazilian,10 mins,25 mins,45 mins,24,109.0,6g,11g,2g
205,Easy Brazilian Black Bean Stew,Brazilian,15 mins,20 mins,35 mins,8,117.0,1g,19g,8g
206,Brazilian-Style Beef Ribs,Brazilian,10 mins,6 hrs,6 hrs 20 mins,3,698.0,57g,,44g
207,Chef John's Brazilian Feijoada,Brazilian,30 mins,4 hrs 45 mins,13 hrs 15 mins,6,720.0,36g,54g,45g
208,Coxinhas (Brazilian Chicken Croquettes),Brazilian,1 hr,1 hr,2 hrs,20,167.0,8g,19g,5g
209,Moqueca de Peixe Baiana (Brazilian Fish Stew),Brazilian,25 mins,25 mins,1 hr 20 mins,4,454.0,34g,16g,25g
210,Brazilian Cheese Rolls (Pão de Queijo),Brazilian,20 mins,15 mins,50 mins,14,199.0,12g,17g,6g
212,Bolo de Leite Condensado (Brazilian Condensed Milk Cake),Brazilian,10 mins,40 mins,50 mins,10,351.0,8g,63g,8g
213,Easy Brazilian Spiced Salmon,Brazilian,5 mins,15 mins,20 mins,4,223.0,11g,10g,22g
214,Black Beans with Bacon,Brazilian,30 mins,40 mins,13 hrs 30 mins,6,381.0,24g,28g,13g
215,Salpicao de Frango (Brazilian Chicken Salad),Brazilian,30 mins,,30 mins,8,355.0,19g,31g,17g
216,Brazilian Coffee Cookies,Brazilian,30 mins,10 mins,40 mins,48,49.0,2g,8g,1g
217,Brazilian Quentao,Brazilian,5 mins,25 mins,30 mins,8,,,,
218,Brazilian Collard Greens (Couve a Mineira),Brazilian,15 mins,30 mins,45 mins,4,129.0,10g,6g,5g
219,Canjica (Brazilian Hominy Pudding),Brazilian,5 mins,1 hr 20 mins,9 hrs 25 mins,10,528.0,26g,66g,10g
220,Quindim,Brazilian,10 mins,30 mins,1 hr 10 mins,8,187.0,7g,30g,2g
221,Pan de Queso (Brazilian Cheese Buns),Brazilian,20 mins,25 mins,55 mins,24,69.0,4g,8g,2g
222,Bolo de Fuba Cremoso (Creamy Cornmeal Cake),Brazilian,10 mins,30 mins,40 mins,8,532.0,22g,76g,12g
223,Caipirinha Cocktail,Brazilian,5 mins,,5 mins,1,165.0,0g,11g,1g
224,Brazilian-Style Moist Coconut Cake,Brazilian,20 mins,40 mins,4 hrs,12,540.0,17g,90g,10g
225,Cocada (Brazilian Coconut Sweet),Brazilian,5 mins,20 mins,55 mins,20,155.0,11g,14g,3g
226,Brazilian Bom-Bocado (Egg Custard),Brazilian,10 mins,10 mins,40 mins,12,147.0,7g,19g,4g
228,Brazilian Banana Bread,Brazilian,25 mins,35 mins,1 hr,12,355.0,5g,74g,6g
229,Brazilian Whole Banana Pie,Brazilian,20 mins,45 mins,1 hr 5 mins,12,451.0,11g,83g,11g
230,Brazilian Style Chocolate Pudding,Brazilian,5 mins,10 mins,20 mins,10,163.0,5g,24g,5g
231,Brazilian Chicken Stew (Galinha Ensopada),Brazilian,10 mins,1 hr 15 mins,1 hr 25 mins,4,425.0,26g,9g,37g
232,Brazilian Sweet Banana and Rice Dish,Brazilian,20 mins,1 hr 50 mins,2 hrs 10 mins,6,932.0,15g,178g,24g
233,Feijoada,Brazilian,45 mins,5 hrs,5 hrs 45 mins,6,683.0,39g,44g,40g
234,Brazilian Collards,Brazilian,10 mins,2 hrs,2 hrs 10 mins,6,269.0,19g,10g,15g
235,Brazilian-Style Carrot Cake with Chocolate Sauce,Brazilian,20 mins,43 mins,1 hr 8 mins,10,438.0,16g,72g,6g
236,Brazilian Peanut Fudge,Brazilian,10 mins,,25 mins,12,306.0,15g,38g,8g
237,Brazilian Broa (Corn Bread),Brazilian,10 mins,10 mins,20 mins,24,117.0,3g,22g,2g
238,Brigadeiro Chocolate Delights,Brazilian,10 mins,15 mins,1 hr 25 mins,25,97.0,4g,15g,2g
239,Refreshing Brazilian Lemonade,Brazilian,10 mins,,10 mins,6,145.0,3g,28g,3g
240,Feijoada Nordestino (Northeastern Brazilian Black Bean Stew),Brazilian,30 mins,1 hr 15 mins,1 hr 50 mins,6,467.0,12g,77g,12g
242,Pao de Queijo (Brazilian Cheese Bread),Brazilian,20 mins,30 mins,1 hr,48,74.0,3g,10g,1g
244,Brazilian Crispy Cheese Bread,Brazilian,15 mins,30 mins,45 mins,6,257.0,13g,29g,8g
245,Bolo Facil de Fuba Cremoso (Easy Creamy Cornmeal Cake),Brazilian,5 mins,45 mins,50 mins,12,338.0,5g,69g,6g
247,Copycat Wingstop Cajun Corn,Cajun and Creole,10 mins,15 mins,25 mins,8,185.0,16g,12g,2g
249,Crawfish Salad,Cajun and Creole,15 mins,,15 mins,4,171.0,6g,9g,19g
250,Cajun Cashews,Cajun and Creole,10 mins,22 mins,32 mins,4,483.0,41g,24g,11g
251,5-Ingredient Cajun Pasta,Cajun and Creole,5 mins,20 mins,25 mins,4 to 6,849.0,67g,39g,24g
252,Cajun Chicken and Sausage Gumbo,Cajun and Creole,45 mins,2 hrs 30 mins,3 hrs 15 mins,10,480.0,40g,15g,16g
253,Chef John's Chicken Lazone,Cajun and Creole,10 mins,20 mins,1 hr 30 mins,4,411.0,25g,6g,39g
255,Sheet Pan Cajun Butter Shrimp,Cajun and Creole,15 mins,8 mins,23 mins,6,339.0,23g,2g,31g
256,Good New Orleans Creole Gumbo,Cajun and Creole,1 hr,2 hrs 40 mins,3 hrs 40 mins,20,283.0,17g,12g,21g
257,Best Jambalaya,Cajun and Creole,20 mins,45 mins,1 hr 5 mins,6,465.0,20g,42g,28g
258,Authentic Louisiana Red Beans and Rice,Cajun and Creole,25 mins,3 hrs 5 mins,11 hrs 30 mins,8,630.0,24g,79g,24g
259,Cajun Seasoning Spice Mix,Cajun and Creole,5 mins,,5 mins,12,6.0,0g,1g,0g
260,Creole Seasoning Blend,Cajun and Creole,5 mins,,5 mins,20,16.0,0g,3g,1g
261,Deep-Fried Turkey,Cajun and Creole,30 mins,45 mins,1 hr 25 mins,16,603.0,34g,2g,69g
262,Cajun Chicken Pasta,Cajun and Creole,15 mins,15 mins,30 mins,2,935.0,62g,54g,44g
